version_uri,date,author_ar,author_lat,book,title_ar,title_lat,ed_info,id,status,tok_length,local_path,tags,author_from_uri,author_lat_shuhra,author_lat_full_name,char_length,author_uri
0398IbnZurca.SufistiqaLiAristutalis.GRAR000027-ara1,398,ابن زرع ::  أبو علي عيسى بن إسحاق بن زرعة,Ibn Zurca :: Ibn Zurʿa ::  Abū ʿAlī ʿĪsá b. Isḥāq b. Zurʿaŧ,0398IbnZurca.SufistiqaLiAristutalis,سوفسطيقا لأرسطوطاليس ::,Sūfisṭīqā li-Arisṭūṭālīs ::,"https://www.graeco-arabic-studies.org/single-¶    text/text/badawi-82.html,  http://www.worldcat.org/oclc/4770825165",GRAR000027,pri,16433.0,https://raw.githubusercontent.com/OpenITI/0400AH/master/data/0398IbnZurca/0398IbnZurca.SufistiqaLiAristutalis/0398IbnZurca.SufistiqaLiAristutalis.GRAR000027-ara1,,Ibn Zurca,Ibn Zurʿa,Abū ʿAlī ʿĪsá b. Isḥāq b. Zurʿaŧ,66431.0,0398IbnZurca
0375IkhwanSafa.JamicatJamica.GVDB20200108-ara1,375,,Ikhwan Safa ::,0375IkhwanSafa.JamicatJamica,جامعة الجامعة,Ǧāmiʿaŧ al-ǧāmiʿaŧ,http://www.worldcat.org/oclc/32976346,GVDB20200108,pri,21418.0,https://raw.githubusercontent.com/OpenITI/0375AH/master/data/0375IkhwanSafa/0375IkhwanSafa.JamicatJamica/0375IkhwanSafa.JamicatJamica.GVDB20200108-ara1.mARkdown,MARKDOWN ::  :: NO_MAJOR_ISSUES,Ikhwan Safa,,,97037.0,0375IkhwanSafa
0375IkhwanSafa.QawlCalaSirrMakhzun.GVDB20210802-ara1,375,,Ikhwan Safa ::,0375IkhwanSafa.QawlCalaSirrMakhzun,,Qawl Cala Sirr Makhzun,,GVDB20210802,pri,2132.0,https://raw.githubusercontent.com/OpenITI/0375AH/master/data/0375IkhwanSafa/0375IkhwanSafa.QawlCalaSirrMakhzun/0375IkhwanSafa.QawlCalaSirrMakhzun.GVDB20210802-ara1.completed,COMPLETED ::  :: NO_MAJOR_ISSUES :: UNCORRECTED_OCR,Ikhwan Safa,,,9741.0,0375IkhwanSafa
0375IkhwanSafa.Rasail.Hindawi95926405Vols-ara1,375,,Ikhwan Safa ::,0375IkhwanSafa.Rasail,رسائل إخوان الصفاء و خلان الوفاء,Rasāʾil Iḫwān al-ṣafāʾ wa ḫillān al-wafāʾ,http://www.worldcat.org/oclc/1041874066,Hindawi95926405Vols,pri,442692.0,https://raw.githubusercontent.com/OpenITI/0375AH/master/data/0375IkhwanSafa/0375IkhwanSafa.Rasail/0375IkhwanSafa.Rasail.Hindawi95926405Vols-ara1.mARkdown,MARKDOWN ::  :: PAGINATION :: RANDOM_CHARS,Ikhwan Safa,,,1999961.0,0375IkhwanSafa
0381IbnMuqriIsbahani.Rukhsa.JK000026-ara1,381,محمد بن إبراهيم بن المقري أبو بكر :: ابن المقري,Ibn Muqri Isbahani,0381IbnMuqriIsbahani.Rukhsa,الرخصة في تقبيل اليد,Rukhsa,محمود محمد الحداد :: الرياض :: 1408 :: دار العاصمة,JK000026,pri,2169.0,https://raw.githubusercontent.com/OpenITI/0400AH/master/data/0381IbnMuqriIsbahani/0381IbnMuqriIsbahani.Rukhsa/0381IbnMuqriIsbahani.Rukhsa.JK000026-ara1,CENT0400 :: _AJZA :: _FIQH :: _HADITH :: _MASAIL :: _SUNNI :: _USUL :: GAL@nodata :: JK@الأجزاء الموضوعية :: JK@الكتب المسندة :: JK@كتب الفقه الإسلامي :: JK@مسائل فقهية :: JK@مسائل فقهية وأصولية,Ibn Muqri Isbahani,,,8196.0,0381IbnMuqriIsbahani
0387IbnBattaCukbari.IbtalHiyal.JK000181-ara1,387,عبيد الله بن محمد بن بطة العكبري العقبلي :: ابن بطة,Ibn Batta Cukbari,0387IbnBattaCukbari.IbtalHiyal,إبطال الحيل,Ibtal Hiyal,زهير الشاويش :: بيروت :: 1403 :: المكتب الإسلامي,JK000181,pri,9692.0,https://raw.githubusercontent.com/OpenITI/0400AH/master/data/0387IbnBattaCukbari/0387IbnBattaCukbari.IbtalHiyal/0387IbnBattaCukbari.IbtalHiyal.JK000181-ara1,CENT0400 :: _AJZA :: _FIQH :: _HADITH :: _HANBALI :: GAL@period-classical :: GAL@literature-islamic :: GAL@0750-1000CE :: GAL@literature-arabic :: GAL@lesserschools :: GAL@fiqh :: JK@الفقه الحنبلي :: JK@كتب الفقه الإسلامي,Ibn Batta Cukbari,,,39032.0,0387IbnBattaCukbari
0385Daraqutni.Sifat.JK000329-ara1,385,الدارقطني ::  أبو الحسن علي بن عمر بن أحمد بن مهدي بن مسعود بن النعمان بن¶    دينار بن عبد الله الدارقطني,Daraqutni :: al-Dāraquṭnī ::  Abū al-Ḥasan ʿAlī b. ʿUmar b. Aḥmad b. Mahdī b. Masʿūd b. al-Nuʿmān b.¶    Dīnār b. ʿAbd Allāh al-Dāraquṭnī,0385Daraqutni.Sifat,كتاب الصفات,Kitāb al-ṣifāt,عبد الله الغنيمان :: المدينة المنورة :: 1402 :: مكتبة الدار :: http://www.worldcat.org/oclc/4771293933,JK000329,pri,5071.0,https://raw.githubusercontent.com/OpenITI/0400AH/master/data/0385Daraqutni/0385Daraqutni.Sifat/0385Daraqutni.Sifat.JK000329-ara1.mARkdown,MARKDOWN :: CENT0400 :: _AJZA :: _CAQAID :: _HADITH :: _MILAL :: GAL@period-classical :: GAL@literature-islamic :: GAL@0750-1000CE :: GAL@hadith :: GAL@literature-arabic :: RANDOM_CHARS :: JK@الأجزاء الموضوعية :: JK@كتب العقائد المسندة :: JK@كتب العقائد والملل,Daraqutni,al-Dāraquṭnī,Abū al-Ḥasan ʿAlī b. ʿUmar b. Aḥmad b. Mahdī b. Masʿūd b. al-Nuʿmān b.¶    Dīnār b. ʿAbd Allāh al-Dāraquṭnī,19715.0,0385Daraqutni
0380AbuBakrKalabadhi.TacarrufLiMadhhabAhlTasawwuf.JK000347-ara1,380,الكلاباذي :: محمد الكلاباذي أبو بكر,Abu Bakr Kalabadhi,0380AbuBakrKalabadhi.TacarrufLiMadhhabAhlTasawwuf,التعرف لمذهب أهل التصوف,Tacarruf Li Madhhab Ahl Tasawwuf,بيروت :: 1400 :: دار الكتب العلمية,JK000347,pri,29951.0,https://raw.githubusercontent.com/OpenITI/0400AH/master/data/0380AbuBakrKalabadhi/0380AbuBakrKalabadhi.TacarrufLiMadhhabAhlTasawwuf/0380AbuBakrKalabadhi.TacarrufLiMadhhabAhlTasawwuf.JK000347-ara1,CENT0400 :: _CAQAID :: _FIRAQ :: _MILAL :: GAL@period-classical :: GAL@literature-islamic :: GAL@0750-1000CE :: GAL@literature-arabic :: GAL@sufism :: GAL@mysticism :: JK@الفرق والملل :: JK@كتب العقائد والملل,Abu Bakr Kalabadhi,,,125908.0,0380AbuBakrKalabadhi
0395IbnMandahMuhammad.Iman.JK000384-ara1,395,ابن منده :: محمد بن إسحاق بن يحيى بن منده,Ibn Mandah Muhammad,0395IbnMandahMuhammad.Iman,الإيمان لابن منده,Iman,د. علي بن محمد بن ناصر الفقيهي :: بيروت :: 1406 :: مؤسسة الرسالة,JK000384,pri,144317.0,https://raw.githubusercontent.com/OpenITI/0400AH/master/data/0395IbnMandahMuhammad/0395IbnMandahMuhammad.Iman/0395IbnMandahMuhammad.Iman.JK000384-ara1,CENT0400 :: _AJZA :: _CAQAID :: _HADITH :: _MILAL :: GAL@nodata :: JK@الأجزاء الموضوعية :: JK@كتب العقائد المسندة :: JK@كتب العقائد والملل,Ibn Mandah Muhammad,,,554658.0,0395IbnMandahMuhammad
0385Daraqutni.Sunan.JK000477-ara1,385,الدارقطني ::  أبو الحسن علي بن عمر بن أحمد بن مهدي بن مسعود بن النعمان بن¶    دينار بن عبد الله الدارقطني,Daraqutni :: al-Dāraquṭnī ::  Abū al-Ḥasan ʿAlī b. ʿUmar b. Aḥmad b. Mahdī b. Masʿūd b. al-Nuʿmān b.¶    Dīnār b. ʿAbd Allāh al-Dāraquṭnī,0385Daraqutni.Sunan,سنن الدارقطني,Sunan,السيد عبد الله هاشم يماني المدني :: بيروت :: 1386 - 1966 :: دار المعرفة :: http://www.worldcat.org/oclc/153300720 (1966 edition),JK000477,pri,302027.0,https://raw.githubusercontent.com/OpenITI/0400AH/master/data/0385Daraqutni/0385Daraqutni.Sunan/0385Daraqutni.Sunan.JK000477-ara1.completed,COMPLETED :: CENT0400 :: _FIQH :: _HADITH :: _SUNAN :: _SUNNI :: _TARAJIM :: GAL@period-classical :: GAL@literature-islamic :: GAL@0750-1000CE :: GAL@hadith :: GAL@literature-arabic :: RANDOM_TAGS :: JK@السنن :: JK@فقه الحديث والمذاهب الأخرى :: JK@كتب الحديث النبوي الشريف وتراجم الرواة,Daraqutni,al-Dāraquṭnī,Abū al-Ḥasan ʿAlī b. ʿUmar b. Aḥmad b. Mahdī b. Masʿūd b. al-Nuʿmān b.¶    Dīnār b. ʿAbd Allāh al-Dāraquṭnī,1121420.0,0385Daraqutni
