begin	begin2	end	end2	gid	gid2	id	id2	matches	s1	s2	seq	seq2	shard	uid	uid2	ch_match	align_len	matches_percentage	w_match	series_b1	series_b2
676	1	974	361	-6636270028460100563	-4029061759496275370	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown.ms0354	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed.ms212	215	غور عظيم وخرج منه لهب اشتعل حتي ظنوه بلغ السماء ونظر اهل------ رومة يومءذ الي عمود من الارض الي السماء لونه لون الذهب وكان من عظمه ---تكاد الشمس ان تغيب منه --ثم --ولي- --------ال-ا-سكند-رية بعده كلوباطرة سنتين-- ف-دامت- م-ملكة -ال--اسكندر-ية وهي الدولة المجدونية ال--ي اول م-لوك قيصر ال--ذي -هو اول ملوك الروماني-ين ----ما------ءتين و----ا----حدي- و-ثمان--ين ---س	غور عظيم وخرج منه لهب اشتعل حتي ظنوه بلغ السماء ونظر اهل مدينة رومة يومءذ الي عمود من الارض الي السماء لونه لون الذهب وكان من عظمه ما تكاد الشمس ان تغيب منه وكان درخشيه بن طيطش القاءد قد غمته هذه العلامات -فبيناه في بيته مغموما قتل ولم يعرف قاتله ال-باب السابع من الجزء الخامس وفي ذلك الزمان كان اهل -جنس ال-لقانيشين وجنس الجنطينشيين وجنش المرنتيين والبلنثيين وجنس	354	212	0	391720842297909304	5022453708568696492	164	364	59.06593322753906	29	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed
845	39	1263	549	-6636270028460100563	-4029061759496275370	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown.ms2159	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed.ms078	272	-وق ال--لحم حتي ام--تلا ال-خندق -من الماء --وقام---- -----ي-----دعو الله عز ا-سمه -وقال في ----د----عا------ء-------ه اللهم اظهر لهذه الجماعة انك الرب واني عبدك عامل بامرك فانزل الله سبحانه نارا من السماء اكلت القربان وحجارة المذبح التي كان فوقها اللحم وجميع الماء الذي صب حوله فسجد القوم اجمعون وقالوا نشهد-- -ان الرب الله فقال الياس ------خذوا ا-بناء بعال -فا-خذو------ا وجء بهم- -فذ------بحهم كل---------------هم -ذبح-------ا----- --وقال لاحءب انزل وكل واشرب فان المطر نازل فنزل المطر علي ما قال وكان--- الجهد -----------قد اشت-د -لا-	حول المذبح ساقية محفورة فلم يزل يصب الماء حتي امتلات الساقية ثم دعا الله بكلام له موصوف في كتب ديوان الانبياء قال فيه اللهم اظهر لهذه الجماعة انك الرب واني بامرك فانزل الله نارا من السماء واكلت القربان والحجارة التي كان القربان -------------------------وجميع الماء الذي صب حوله فسجد القوم اجمعون وقالوا -شهدنا بان الرب الله فقال الياس النبي خذوا انبياء بعال ولا يفوتن منهم احد فلما اخذوا نهض بهم الي خندق يدعي قيشون فذبحهم فيه اجمعين ثم قال لاحاب انزل وكل واشرب فان المطر نازل فنزل المطر علي ما قال و-انقطع الجهد وكان المطر قد ارتفع ثلاث	2159	78	0	-6067955474615903976	-3052195094148682661	211	537	50.65176773071289	36	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed
25	1510	121	1634	-6636270028460100563	-4029061759496275370	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown.ms0354	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed.ms198	94	---س-ن---ة وكان قبيح ال-سيرة-------------------- تزوج باخته ثم فارقها علي اقبح حال مما تزوجها عليه في خبر له ثم تزوج ربيبته	الاسكندرية وكان قبيح المعيشة قبيح الموت وذلك انه تزوج باخته ثم فارقها علي اقبح حال مما تزوجها عليه في خبر له ثم تزوج ربيبته	354	198	0	391720842297909304	8916144023908227257	74	124	75.80644989013672	18	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed
196	8	346	183	-6636270028460100563	-4029061759496275370	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown.ms0347	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed.ms138	121	ع-د -ما زلزل -بدواهيه العظيمة ا-----ل------عالم كله وعم- اهله بعضا بالمنايا الفظيعة وبعضا بالتوطين عليها والمباشرة لاهوالها و-ا--وصي عند وف-ات-ه ان يلقب كل- -قاءم -في ال--يونا-	عند سماع هذه الدواهي- العظيمة التي زلزلت العالم كله وعمت اهله بعضا بالمنايا الفظيعة وبعضا بالتوطين عليها والمباشرة لاهوالها ويا نفسي هلا تفجعت وبكت عينك علي مصاءب اهل الدنيا اذ	347	138	0	-5461246677562321969	8672361581328763303	98	176	68.75	11	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed
458	5	977	640	-6636270028460100563	-4029061759496275370	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown.ms0608	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed.ms277	383	من -هلاك هذه العدة العظيمة من البشر فان--صرف -النساء باولادهن -وقد --سررن سرورا كثيرا -فل--ما صا--ر من ------الليل -ا---لي مضجعه ----------راي في منامه شيخا يقول له انك رحمت الاطفال وامهاتهم ورايت احتمال علتك اولي من ذبحهم فقد رحمك الله ووهبك السلامة من علتك فا-ب--------عث -ا----لي رجل من اهل الايمان يدعي شلبشقر قد ---فر خوفا منك وقف عند-ما يامرك به والتزم ما يخصك عليه -تتم لك العافية ف--------------انتبه --------مذعو-------را- وبعث في طلب--- شلبشقر --ا-----لا--سقف فاتي به اليه وهو يظن انه يريد قتله --لما- -عهده من غلظته --عل-ي -النصاري و-مقته ----لدي-ن--هم فعندما -راه --ت-لقا---ه ---بالبشر واعلمه بما -راه في منا-مه ---قفص عليه د---ين ال---ن	من اهلاك هذه ال---جمل----ة من البشر وان يهلك بهلاكهم -امهاتهم اسفا ثم امر باطلاقهن مع اولادهن والكف عن جميعهم فلما صار الي مضجعه ليلته تلك راي من منامه شيخا يقول له انك رحمت الاطفال وامهاتهم ورايت احتمال علتك -و----اطلاقهم فقد رحمك الله ووهبك السلامة من علتك والبرء من داءك فابعث في رجل من اهل الايمان يدعي شلبشتر قد انتفي خوفا منك وقف عند ما يامرك به والتزم ما يحضك عليه وتتم لك العافية في بدنك وروحك فانتبه قسطنطين مذعورا مما راه وبعث في شلبشتر الاسقف جماعة من اعوانه فاتي به اليه وهو يظن انه يريد قتله فتلقاه بالبر والاكرام واعلمه بال-رءيا وكاشفه عن الديانة في خبر له طويل اختصرنا منه هذا الفصل واسقطنا ما تلاه من مناظرة شلبشتر اليهود وغير ذلك من	608	277	0	2408193061748366174	-7312958031726267851	289	649	59.01386642456055	49	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed
407	1	1632	1553	-6636270028460100563	-4029061759496275370	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown.ms0345	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed.ms132	1090	ذاك علي الفرس وق-عة شنعاء ونكبة دهياء قتل فيها منهم عدد لا يحصي ولم يقتل من عسكر الاسكندر الا ماءة وعشرون فارسا وتسعون راجلا --ومضي الاسكندر -ففتح مد----ا-ءن وان--ت-هب --م-------ا-- --------------------------------------------------------------------فيه------ا- ف------بلغه ان دار------ا---- قد عبا واقبل نحوه بجمع عظيم فخاف ان يلحقه في ضيق الجبال التي كان فيها فقطع --------نحوا من ماءة ميل ---------------في سرعة عجيبة -----حتي بلغ مدينة طرسوس وكاد يهلك--- -لفرط ال--برد-- حتي- ا--نقبض عصبه --فلاقاه- ---دا-------را ---ف----ي ثلثما--ءة ا-لف ر-اجل- وماءة -ا-لف فا-رس ف---ل--ما-- التقي ال-جم---عا-ن كا-د -الاسكندر- ي--فر --لكثرة ----------ما -كا--ن-- ف----يه دارا -----------------وقلة م---ا- -------ك-------------ا---ن ف--------ي-------ه و-و-ق-ع -------القتال بينهما وباشر القواد الحرب بانفسهم وتنازل الابطال واختلف الطعن والضرب وضاق الفضاء باهله فباشر كلا الملكين الحرب بانفسهما دارا والاسكندر وكان الاسكندر اكمل اهل زمانه فروسية واشجعهم واقواهم جسما فباشر-ا حتي جرحا جميعا وتمادي الحرب بينهما حتي انهزم دارا ونزلت الوقيعة بالفرس فقتل من راجلهم نحو من ثمانين الفا ومن فرسانهم نحو من عشرة الاف واسر منهم نحو من اربعين الفا ولم يسقط من عسكر الاسكندر الا ماءتان وثلاثون راجلا وماءة وخمسون فارسا فانتهب الاسكندر جميع عسكر الفرس واصاب فيه من الذهب والفضة والامتعة الشريفة ما لا يحصي كثرة واصيب من جملة الاساري ام دارا وزوجته واخته وابنتاه فطلب دارا -------من الاسكندر فديتهن بنصف ملكه فلم يجبه ---------الي ذلك -فعبي دار----ا مرة ثالثة وحشد الفرس ---عن- اخرهم واستجاش بكل من قدر عليه- من الامم ف--------ب--------عث الاسكندر قاءدا -------في-- ---اسطو-----ل ----ل--لغارة علي بلد الفرس	ذلك علي الفرس وقيعة شنعاء ونكبة دهياء قتل فيها منهم عدد لا يحصي ولم يقتل من عسكر الاسكندر الا ماءة وعشرين فارسا وتسعون راجلا ثم مضي الاسكندر الي المدينة التي كانت تدعي يومءذ غوذيانه وهي تدعي اليوم شرذش فحاصرها حتي افتتحها وغلب عليها فهدمها وانتهب ما فيها فبيناه في ذلك بلغه ان داري ملك الفرس قد عبا واقبل نحوه بجمع عظيم فخاف ان يلحقه في ضيق الجبال التي كان فيها فقطع من يومه نحوا من ماءة ميل واجاز جبل طوره في سرعة عجيبة ومضي حتي بلغ مدينة طرسوس وكاد يهلك في النهر الذي يدعي جثيم اذ افرط عليه برد النهر حتي انقبض عصبه ووقفه علي الهلاك ثم ان داري ملك الفرس لاقاه بابية في ثلاثماءة الف راجل وماءة الف فارس واقبل داري يومءذ في كثرة كان يفزع لها الاسكندر فضلا عن غيره لكثرة من كان معه وقلة من كان مع الاسكندر اذ قربوا اليهم فلما التقي الجمعان وتواقفا واستحر القتال بينهما وباشر القواد الحرب بانفسهم وتنازل الابطال واختلف الطعن والضرب وضاق الفضاء باهله -باشر كلا الملكين الحرب بانفسهما داري والاسكندر وكان الاسكندر اكمل اهل زمانه فروس-ة واشجعهم واقواهم جسما فباشرها حتي جرحا جميعا وتمادت الحر--ب----- حتي انهزم داري ونزلت الوقيعة بالفرس فقتل من ر-جلهم نحو من ثمانين الفا ومن فرسانهم نحو من عشرة الاف واسر منهم نحو من اربعين الفا ولم يسقط من -المجذونيين-- الا ماءتان وثلاثون راجلا وماءة وخمسون فارسا فانتهب الاسكندر جميع عسكر الفرس واصاب فيه من الذهب والفضة والامتعة الشريفة ما لا تحصي كثرة واصيب في جملة الاس-ري ام داري وزوج-ه واخته وابنتاه فطلب داري فديتهن من الاسكندر -------بنصف ملكه فلم يجبه الاسكندر الي ذلك ثم ان داري عبا مرة ثالثة -----الفرس من عند اخرهم واستجاش بكل من قدر عليهم من الامم فبيناه يعبء لذلك بعث الاسكندر قاءدا يدعي يرميون بن مجذونيا في اصطول للغارة علي بلد الفرس	345	132	0	-3745066140168840225	7002854641275350999	871	1579	69.0310287475586	152	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed
11	396	904	1467	-6636270028460100563	-4029061759496275370	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown.ms2153	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed.ms040	645	علي-- بني ا----سراءي-----ل -وا-ستعباده-م--- --واتخا-ذهم -سخريا في مهنة -الاعمال فاصابت- ف---رع-ون و-قو----مه -الجو------ا-ءح ا-ل--ع--شر ---وا-حدة بعد اخري ----وهو ---يثب-ت --لهم عند --------وقوعه------ا وي--فزع الي موسي في---- -الدعاء با---ن--ج-لاءها -ثم يلح --عند انكشافها فانها- كانت ع----ذا--با-- ---من ال-له عز وجل عذب ال---له بها-- -فرعون ----وقومه فمنها ان ---ماء مصر- -صا--ر دما حتي هلك اكثر اهل مصر عطشا وكثرت عليهم الضفادع حتي وسخت جميع مواضعهم وقذرت عليهم عيشهم وجميع ماكلهم و-------كثر ------الب-عوض حتي حبس الهواء ومنع النسيم و-------كثر عليهم ذباب الكلاب حتي جرح ابدانهم ونغص عليهم حياتهم و---ما-----ت----------ت دوابهم واغنامهم ------فجاة و-عم الناس الجرب والجدري-------- حتي زاد منظرهم قبحا علي مناظر الجذم-ي ونزل من السماء برد --مخلوط ب--صواعق ا--هلك كل ما ادركه من الناس والحيوا-نات وذهب بجميع الثمار و----كثر- الجراد- والجنادب التي اكلت الاشجار-- واستقصت اصول النبات واظلمت الدنيا ظلمة --سوداء غل-ي----ظة حتي كانت من غلظها تحس -بالاجسام ---وبعد ذل--------ك كله نز-ل الموت فجاة علي بكور اولادهم بحيث لم يبق لاحد منهم ولد بكر الا فجع به في تلك الليلة ليكون لهم في ذلك شغل -عن بني اسراءيل	عليهم حتي امتدوا الي اطفالهم ارسل الله موسي رسوله اليهم ليكفوا عن قومه ويتركوهم لعبادته فلما عصوه وعتوا عليه والجوه حتي انزل الله عليهم الجواءح العشر التي ابتلاهم الله بها جعلوا عند ذلك يستعجلونهم بخروج ويرغبون اليهم في ايشاكه باشد اجتهاد من اجتهادهم قبل ذلك في وحبسهم وذلك بعد ان كملت عليهم الجواءح العشر المذكورة في كتاب التوراة جواءح مصر في ايام موسي النبي من ذلك ان صارت مياههم دما حتي هلكوا عطشا-- --وبعد ان كثرت عليهم الضفادع حتي وسخت----- مواضعهم وقذرت عليهم عيشهم وجميع ماكلهم وبعد ان كثر عليهم الباعوض حتي ----الهواء ومنع النسيم وبعد ان كثر عليهم ذبان الكلاب حتي جرح ابدانهم وبغض اليهم عي-شهم وبعد ان نزلت الجاءحة في دوابهم واغنامهم فذهبت فجاة وبعد ان عم الجرب والجدري اجسامهم حتي زاد منظرهم قبحا علي مناظر الجذماء وبعد -نزول -ا-لبرد المخلوط بالصواعق المهلك -ل-من ادركه من الناس وال-دواب والمذهب لجميع الثمار وبعد كثرة الجنادب والجراد- التي اكلت --اشجارهم واستقصت اصول النبات و--بعد ال-----ظلمة السوداء التي عليهم حتي كانت من غلظها تحسها الاجسام فضلا عن الاعين وبعد ذلك نزول الموت فجاة علي بكور اولادهم -حتي لم يبق لاحد منهم ولد بكر الا فجع به في تلك الليلة -فعند ذلك سارعوا الي ترك بني اسراءيل	2153	40	0	5953533461148632395	877999829494979187	500	1103	58.47688293457031	68	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed
31	251	752	1249	-6636270028460100563	-4029061759496275370	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown.ms0353	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed.ms143	396	قال --غي-ره ولي-- ا-ر--بعين سنة و-قيل ثمانيا- وثلاثين سنة وقيل ا-ن ا-سمه في--لدلفوس وهو محب الا-ب ---وكا---ن ---مجدونيا -وهو الذي --غنم الي-----هود ون-ق-ل كثيرا -منهم الي -مصر وفي --زما--نه ----كان زينون الفيلسوف وكان -هذا-- ---ا----ل-ملك ---ف----يلسوفا--- --واقبل برد---ي-قا- احد قوا-د ال---اسكندر -ا----لي -مصر ب-عسكر عظي-م-- -----------وجيش عرمرم -------فتفرق سلطان مج------------د----ونية علي قسمين ثم ان بطليموس جمع عساكر مصر وافريقية ولاقي برديقا فهزمه واصاب عسكره ثم قتله واصاب ما كان معه و-------حارب ----عدة --م--ن --قواد الاسكندر وقال -غي--ر-----ه-- -وكا----ن بطليموس ---هذا حكيما عا----لما شا-با مدبرا وهو -اول من اقتني ال--بزا--ة --ولعب بها --وضراها- --وكا-ن من قبله --من- --الم-لو---ك --ل----ا --ي-لعب -بها ولما ----مات ملك الاسكن-درية بعده-- ----------بطليموس ---ا---لثان--ي --واسم--ه فيلو-ذو----فوس و---يقا-ل له -محب الا-خ و-كانت م---دة مل-كه ثمان---يا وثلا--ثين سنة وهو ال-ذي ----ا-طلق- ا---ل--يهو--د ---ال----ذين كان---وا- ما-سور--ين بارض مصر ورد ال--ا-واني- -المقدس-ه علي -عزي-ز --ال-	قبل ان يغلب عليهم احرقوا انفسهم وجميع -ما كان لهم ث-م بعد ذلك ثارت الحرب بين انطغون وبرديقا فكانت بينهما حرب عظيمة وصار ضرها ال-ي مداءن كثيرة بعضها من قبل اجابة اهلها الي العون في تلك الحرب وبعضها من قبل امتناعهم ولانها كانت حربا مهولة لا يعرف ان كانت انما تكون في بلد اشية ام تنتهي الي بلد مجذونية واخر ذلك اقبل برديقا الي مصر بعسكر عظيم وجيش عرمرم واذ ذلك تفرق سلطان مجذونية الي بلد مجذونية علي قسمين ثم ان بطليموس جمع عساكر مصر وافريقية فلاقي برديقا فهزمه واصاب عسكره ثم قتله واصاب ما كان معه واذ ذلك حارب بطليموس هرمثان القاءد علي بلد ليذية حتي جرح بعضهما بعضا فغلب بطليموس وانهزم الي القاءد الذي كان يسمي انطيطر فساله الاتيان الي محاربة هرمثان الا ان هرمثان خرج الي محاربته فكانت بينهما وقيعة قتل فيها فليوكون وبرز فيها بطليموس الي هرمثان فجرح بعضهما بعضا فهلك بطليموس ونجا هرمثان ثم ان هرمثان ونطون والبريوش وانجيطا واخو برديقا اقبلوا الي محاربة المجذونيين فعبا لمحاربتهم رتلغو-ن فلاقي هرمثان وقد احتفل كل واحد في الاستعداد فانهزم اذ ذاك هرمثان ودخل حصنا في تلك الناحية وبعث رسله الي انطيطر يساله	353	143	0	8254716681320080296	-8133605057583734893	283	1002	39.520957946777344	23	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed
1401	165	1534	342	-6636270028460100563	-4029061759496275370	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown.ms0327	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed.ms043	110	--ا- -بين غرق ف-رعو-ن --موس----ي -ا--ل-ي ما-ءة وسبع سني---ن --ك-ا----ن ----بمصر --ملك -----يسمي نوشردس -----كان يقتل الغرباء والاضياف ويذبحهم لاوثانه ويجعل دماءهم قربانا لها وا-	وثار عليه بهم فاستولي علي سلطانه واستلبه ماكان بيده وفي بعض ذلك الزمان كان بمصر الملك الذي يسمي نوشردش الذي كان يقتل الغرباء والاضياف ويذبحهم لاوثانه ويجعل دماءهم قربانا لها قال	327	43	0	-4015970782093046933	-4935846497207897048	86	177	62.14689254760742	9	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed
121	1	360	347	-6636270028460100563	-4029061759496275370	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown.ms0354	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed.ms199	175	التي كانت بنت اخته ثم زوجها من ابنه المولود--- من اخته وكثرت فواحشه حتي نفاه اهل الاسكندرية فمات منفيا و---ولي ----ا--خوه بطلي-------مو-س ال---ا-سكن--د---ر وهو الجوا---ل-- عشر- -سنين --ثم -----ولي بعده ------ا--بن------ه بطليموس -ديوشيش ثمان---يا-- -وثلاثي------ن --سنة و--------في --زم--ا--ن-ه --غلب -قا--ءد -----الروماني---ين عل----ي بيت ال-م--	التي كانت بنت اخته ثم زوجها من ابنه المولود له من اخته وكثرت فواحشه حتي نفاه اهل الاسكندرية فمات منفيا وفي ذلك الزمان كان انسيوق احد قواد الرومانيين قد غلب علي العراق كلها وارض بابيل وارض فارس ولم يكفه ذلك مما كان احتواه حتي مضي الي بلد الهند وقاتل اول امير بلدان الهند واسمه براغه فهزمه الهندي وقتله وكان في عسكر الروماني ماءة الف وفي ذلك الزمان	354	199	0	391720842297909304	8479111142845149922	132	346	50.578033447265625	18	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed
