begin	begin2	end	end2	gid	gid2	id	id2	matches	s1	s2	seq	seq2	shard	uid	uid2	ch_match	align_len	matches_percentage	w_match	series_b1	series_b2
1156	18	1654	526	-4029061759496275370	3485423447167391186	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed.ms131	0845Maqrizi.KhabarCanBashar.MMS00013-ara1.ms2229	478	ثم قتل جميع اختانه واكثر اقاربه في وقت تعبءته لمحاربة الفرس وكان جميع عسكره فيما حكي اثنين وثلاثين الف فارس وستين الف راجل وكانت مراكبه خمسماءة مركب وثمانين مركب----------ا--- -----فلقد كان في امره اعجوبة اذ كان يقدم نفسه في مثل هذه القلة علي تحريك كبار ملوك الدنيا فضلا عن غلبته وكان في عسكر داري ملك الفرس في اول ملاقاته -----ستماءة الف مقاتل فغلبه الاسكندر بشدة صبر المجذونيين واستبسالهم للموت الي ما كانوا فيه من شدة عزمه وسعة حيلته فلم يزل الاسكندر في تلك الوقيعة يصابر الفرس باصحابه المجذونيين حتي غلب عليهم وكان- اذ	ثم قتل جميع اختانه واكثر اقاربه في وقت تعبتته لمحاربة الفرس وكان جميع عسكره--------- اثنين وثلاثين الف فارس وستين الف راجل وكانت مراكبه خمسماءة مركب وثمانين مركبا قال في تاريخ روما فلقد كان في امره اعجوبة اذ كان يقدم----- في مثل هذه القلة علي تحريك كبار ملوك الدنيا فضلا عن غلبته وكان في عسكر دارا ملك الفرس في اول ملاقاته اياه ستماءة الف مقاتل فغلبه الاسكندر بشدة صبر المجدونيين واستبسالهم للموت الي ما كانوا فيه من شدة عزمه وسعة خيلته فلم يزل الاسكندر في تلك الوقيعة يصابر الفرس ياصحابه المجدونيين حتي غلب عليهم وكانت اذ	131	2229	0	7801281652361754306	2074448269782644175	389	522	91.57088470458984	80	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed	0845Maqrizi.KhabarCanBashar.MMS00013-ara1
0	1392	173	1569	-4029061759496275370	3485423447167391186	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed.ms102	0845Maqrizi.KhabarCanBashar.MMS00013-ara1.ms2217	170	-- فحص كان بساطه دما جامدا فلما راي شخشار ذلك من فعلهم وعزمهم وفهم ان قد غلب مرتين في البر عبا لمقاتلتهم في البحر --بالمراكب وكان رءيس الاثنياشيين يسمي طمشتقلان فاوصي الي قباءل	في فحص كان بساطه ذما جامدا فلما راي شخشار ذلك من فعلهم وعزمهم وفهم ان قد غلب مرتين في البر عبا لمقاتلتهم في البحر في المراكب وكان رءيس الاثنياشيين يسمي طمستقلان فاوصي الي قباءل	102	2217	0	-2969653958194589968	2181067722233762356	137	177	96.04519653320312	29	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed	0845Maqrizi.KhabarCanBashar.MMS00013-ara1
38	334	261	591	-4029061759496275370	3485423447167391186	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed.ms109	0845Maqrizi.KhabarCanBashar.MMS00013-ara1.ms2220	186	دار-----ي بن ارت---------شخشار بن داري ملك -الفرس-- فذكر ما لقيه ابوه وجده مع الاثنياشيين فامر عامله علي بلد ليذية واسمه شرفرثان بان يصالح اللجذمونيين وان يعدهم العون والعطايا علي محاربة الاثنياشيين ومن -عجي---ب ا-مر- -----الاثن-ياشيين- انهم كانوا-- -اهل ب-	دارا نوطو بن ارتشخشار بن شخشار بن دارا تسع عشرة سنة فذكر ما لقيه ابوه وجده مع الاتنياشيين فامر عامله علي بلد ليذيه واسمه شرمرتان بان يصالح اللجذمونيين وان يعدهم العون والعطايا علي محاربة الاتنياشيين قال وولي ملك الفرس بعد دارا نوطو ابنه ارتشخشار ابن دارا بن	109	2220	0	9220005282968677788	-5939227249582688749	149	257	72.37354278564453	22	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed	0845Maqrizi.KhabarCanBashar.MMS00013-ara1
744	635	1410	1227	-4029061759496275370	3485423447167391186	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed.ms082	0845Maqrizi.KhabarCanBashar.MMS00013-ara1.ms2426	213	ا--ت -يربعام بن يو-ا---ش مل--ك اسراءيل و--ول--ي- ---م-ك-انه ا-بنه زكريا -وك---انت -ول-------ايته ستة اشهر وكان علي مثل ما مضي عليه اباءه من الضلال والكفر فثار عليه رجل يقال له شلوم بن يابوش فقتله وولي الملك مكانه سنة ثم ثار عليه مناجيم بن عادي من موضع يسمي ترصاة من قسمة فقتله وولي الملك مكانه في السنة التاسعة والثلاثين من ملك عوزيا بن امشيا امير يهوذا وكانت سيرته قبيحة لم يقصر عن مثل فعل يربعام بن نباظ الذي ضلل بني اسراءيل وكانت ولايته سنتين ثم مات مناجيم ملك اسراءيل وولي الملك بعده فجيا ابنه في السنة الاربعين من دولة عوزيا امير يهوذا وكانت سيرته قبيحة مثل سيرة يربعام الذي ضلل بني اسراءيل ثم قتله عامل من عماله يدعي فقحيا بن رمليا وولي الملك مكانه في السنة الثانية والخمسين من ولاية عوزيا ---ام	احدي واربعين سنة ومات في السنة الثانية والثلاثين من ملك عوزيا بن- امشيا ملك يهوذا قولي بعده ابنه ستة اشهر وكان علي مثل ما مضي عليه اباءه من الكفر بالله فثار عليه ابن ياموش فقتله وولي الملك عودته سنة واحدة صار عليه ايصار بن عادي -------------------------------------------فقتله وولي الملك مكانه في السنة التاسعة والثلاثين ملك غوريا بن امشيا ملك يهوذا وكانت سيرته كمثل سير من مضي تم مات وولي بعده ابنه في السنة الاربعين من ملك غوريا فسار كسيرة اسلافه فغزاه ملك سوريا فصالحه علي الف وزنة فضة ووضع علي بني اسراءيل خراجا وجني من كل واحد خمسين مثقال فضة ثم قتله بن زمليا احد عماله ---------------------------------------------------------------وولي الملك مكانه في السنة الثانية والخمسين من مل--ك غوزيا فاقام	82	2426	0	-8929812338078200431	7850229827977008693	166	701	30.385164260864258	26	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed	0845Maqrizi.KhabarCanBashar.MMS00013-ara1
970	11	1621	660	-4029061759496275370	3485423447167391186	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed.ms131	0845Maqrizi.KhabarCanBashar.MMS00013-ara1.ms2224	623	-ف-انه- -درس---هم----- واستاصلهم وخرب مدنهم وقراهم ودرس ساءرهم من قباءل الروم الغريقيين وجعلهم سبيا مبيعا وجعل ساءر كور بلد طشالية وبلد اقايية يءدي اليه الخراج ثم غلب بعد ذلك علي اهل اليوقة وطراكية ثم قتل جميع اختانه واكثر اقاربه في وقت تعبءته لمحاربة الفرس وكان جميع عسكره فيما حكي اثنين وثلاثين الف فارس وستين الف راجل وكانت مراكبه خمسماءة مركب وثمانين مركبا فلقد كان في امره اعجوبة اذ كان يقدم نفسه في مثل هذه القلة علي تحريك كبار ملوك الدنيا فضلا عن غلبته وكان في عسكر داري ملك الفرس في اول ملاق---ا-ته ستماءة الف مقاتل فغلبه الاسكندر بشدة صبر المجذونيين واستبسالهم للموت الي ما كانوا فيه من شدة عزمه وسعة حيلته فلم يزل الاسكندر في تلك الوقيعة يصابر الفرس باصحابه	كف عنهم ودرس الطمانيين واستاصلهم وخرب مدنهم وقراهم ودرس ساءرهم من قباءل الروم الغريقيين وجعلهم سيبا مبيعا وجعل ساءر كور بلد طشاليه وبلد اقاييه يءدي اليه الخراج ثم غل--ب-- ----علي اهل اليوقة وطراكيه ثم قتل جميع اختانه واكثر اقاربه في وقت تعبءته لمحاربة الفرس وكان جميع عسكره--------- اثنين وثلاثين الف فارس وستين الف راجل وكانت مراكبه خمسماءة مركب وثمانين مركبا فلقد كان في امره اعجوبة اذ كان يقدم نفسه في مثل هذه القلة علي تحريك كبار ملوك الدنيا فضلا عن غلبته وكان في عسكر دارا ملك الفرس في اول ملاقته اياه ستماءة الف مقاتل فغلبه الاسكندر بشدة صبر المجدونيين واستبسالهم للموت الي ما كانوا فيه من شدة عزمه وسعة حيل-ه فلم يزل الاسكندر في تلك الوقيعة يصابر الفرس باصحابه	131	2224	0	7801281652361754306	-8590318606109367524	508	667	93.4032974243164	105	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed	0845Maqrizi.KhabarCanBashar.MMS00013-ara1
84	37	833	948	-4029061759496275370	3485423447167391186	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed.ms069	0845Maqrizi.KhabarCanBashar.MMS00013-ara1.ms2781	346	-د- بكاء ا-عادتها ا-ذ هي مد--و--ن----ة في ديو---ا-ن --اخبار الانبياء- ومن احصاء- -------رجا--ل ---ب--ني- ا-----سرا---ءيل -----ا-جمع--ين ---واجري- ---ذلك علي -ي--------دي ----ي-وا-ب بن- -شر-بيا صا-حب --والتطو-ف عليهم تسعة اشهر وعشرين يوما -و-الفي ---في بني اسراءيل سوي سبط يهوذا ثماني-ماءة الف رجل ممن يقوي علي حمل السلاح والفي في خمسماءة الف ولذلك بعث الله اليه غاث بن عادوا النبي في واعلمه ان لا بد من احداهن كفارة لذنبه وهي اما جوع سبع عن اعداءه ثلاثة اشهر واما طاعون ثلاثة ايام فقال داءد النبي يدي الله وادبه خير من الوقوع بايدي الاعداء وقتلهم فاختار الطاعون فمات من بني اسراءيل ----من -وقت ا--لصب--ح ال-ي ---ب---عض النها--ر سبعون ----ا------لفا--- و-ظهر --لد-اءد -ا-لنبي مل-ك يطعن الناس ف---------ر--غب الي الله-- -وقال ال-ذنب --لي -وقبلي يا-- -رب فاقتل-ن-ي واهلي -واعف عن-- -خلقك --وا-ذ ----ذلك -ا-مره --غاث ال----نبي- --ان يقيم --مذب----حا- ----ويقدس ----ال--له -عل-يه قربا-نا- -ففعل وانقطع عن- -بن-ي --ا---سراءيل وتوفي داءد ببيت ا-لمقدس -بعد --س-	يده فكان اذ ازاها اضطربت يده وكان يقال ان دموع داود تعدل دموع الخلاءق ومن -حينءذ استخفوا بامره ووثب عليه ابنه ودعا لنفسه فكثر اتباعه من اهل الزيغ فحاربه حتي قيل كما تقدم واحصي داود بني اسراءيل واقام في التطواف عليهم تسعة اشهر وعشرين يوما فوجد في قباءل بني اسراءيل سوي سبط يهوذا ثماني ماءة الف رجل ممن يقوي علي حمل السلاح ووجد في سبط يهوذا خاصة خمسماءة الف فعاتبه الله تعالي علي ذلك وخيره بين احدي ذواهي ثلاث كفارة لما فعل اما جوع يحل ببني اسراءيل واما اعداءه ثلاثة اشهر واما طاعون يقع فيهم ثلاثة اشهر ويوم -----------------------------------------فاختار الطاعون فمات من بني اسراءيل في بعض يوم واحد سبعون الفا فرغب داود الي الله تعالي حتي ارتفع الطاعون ويقال ان دعاءه كان علي الصخرة من القدس فعند ذلك شرع في اخذ الاهبة لبناء المسجد وكان في زمن داود عدة من الانبياء وفي ايامه بنيت مدينة قرطاجة افريقيا وابتدا سلطان اليونانيين وروي شعبة عن ابي اسحاق عن بشر بن حزن النصري قال افتخر اصحاب الابل والغنم عند النبي فقال رسول الله بعث داود وهو راعي غنم وبعث موسي	69	2781	0	2145714563177103177	3161016607712019623	241	953	36.306400299072266	24	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed	0845Maqrizi.KhabarCanBashar.MMS00013-ara1
1	1245	129	1393	-4029061759496275370	3485423447167391186	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed.ms148	0845Maqrizi.KhabarCanBashar.MMS00013-ara1.ms2469	94	السبعين -مترجم--ا--- من عل-----م-اء --الي-ه--و--د الذين ترجموا كتب ال-تو--راة والا-نبياء من اللسان العبراني الي اللسان الرومي اليوناني واللطيني وكان- في	ال-ب-يت وجاءهم بانية من الذهب امرهم بتعليقها وجمع سبعين --من احبار اليهود ترجموا التوراة من اللسان العبراني الي اللسان الرومي اليوناني واللطيني وكانت في	148	2469	0	8766605501415737855	-7351045219520045223	77	152	61.842105865478516	10	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed	0845Maqrizi.KhabarCanBashar.MMS00013-ara1
786	1	1416	614	-4029061759496275370	3485423447167391186	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed.ms071	0845Maqrizi.KhabarCanBashar.MMS00013-ara1.ms2796	288	-ه- يربعام بن نباظ من سبط افرايم بن يوسف وكان ---ولاه عمل بني يوسف ثم انه استوجب عنده حكما فلما اراد سليمان الانتقام منه هرب عنه الي مصر فلم يزل بمصر هاربا حتي توفي سليمان فلما توفي رجع الي ارض بني اسراءيل فصار اميرا علي العشرة اسباط من بني اسراءيل التي خرجت عن رجيعام بن سليمان الذي ولي الملك بعد ابيه فولي رجيعام الملك علي بني اسراءيل بعد ابيه مدة سبع عشرة سنة وكان يوم ولي الملك ابن احدي واربعين سنة وكانت امه نعما بنت نا-ش ملك بني عمون -يربعام بن- -سليمان بن داءد ولي--- --سبع --عشرة سنة فصارت سنو الدنيا- ال--ي-- -اخر --زم-ان رجيعام ---ارب-----عة الاف وماءتين ----و-ا------حدي -وعشري---ن -سن-ة --ولي- --الملك وهو ا------ب--ن -ا-حدي و----ا-ر-----بع-ين سنة --وهو- الذي تفرق ت ب نو--- ا-سر--اءيل علي يديه وخرجت -عن	وهو يزيعام بن نياط من سبط افرايم بن يوسف وكان قد ولاه عمل بني يوسف تم انه استوجب عنده حكما فلما اراد سليمان الانتقام منه هرب عنه الي مصر فلم يزل هاربا حتي نوفي سليمان فلما نوفي رجع الي ارض بني اسراءيل ونوفي سليمان وله اثنتان وخمسون سنة من العمر فاقام من بعده ابنه رحبيعم وله من العمر ------------------------------------------------------------------------------------------------------احدي واربعين سنة وكانت امه نعما بنت نانس ملك بني عمون فاقترفت بنو اسراءيل بعد موت سليمان وتابع العشرة اسباط ير-يعام بن نياط ولم يبق مع رحبيعم بن سليمان سوي سبط يهوذا وسبط بنيامين فقط وصار ملك بني اسراءيل من حينءذ فرقتين هما ملك يهوذا مع رحبيعم بالقدس وملك اسراءيل مع يريعام بشمرون التي هي نابلس ووفعت الحروب بين الفريقين انتهي وعن	71	2796	0	4482101899831416231	766640808950276145	211	716	40.22346496582031	35	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed	0845Maqrizi.KhabarCanBashar.MMS00013-ara1
1	190	1164	1556	-4029061759496275370	3485423447167391186	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed.ms070	0845Maqrizi.KhabarCanBashar.MMS00013-ara1.ms2794	989	بعده فغلظ امر سليمان بن داءد وقوي سلطان---ه-- البلاد عل----ي- وانقطعت الحروب عن بني اسراءيل--- جميع النواحي وانقاد له جميع -------الذين ---وا-خوته وتاويل اسمه -العبراني- السلم لانه-------------- ------وتزوج ابنة فرعون ملك مصر وابنة ملك عمون وابنة ملك م----و----ا--ب وتجل--ي-- ----------------------------الله ------له في نومه في اول ولايته فقال له سل ما شءت لتعطاه فسال العلم------------- انك سالت العلم ولم تسال طول البقاء ولا المال ولا قتل الاعداء--------------------- ما لم يبلغه احد غيرك وجمعت لك اليه المال والقدرة وفضلتك في---- علي ------مضي قبلك وكان اول حكم حكم به وعجب بنو اسراءيل من حكمته وذلك امر المراتين اللتين ادعتا- عنده في الصبي المولود فدعا بسيف واشار الي الصبي وقسمته بينهما فرضيت بذلك التي لم تكن امه وابت الا----م------------ شفقة علي ابنها فحكم لها سليمان به وظهر بذلك انه كان ولدها وبلغ---------- جميع العلوم مبلغا تقدم فيه اهل المشارق والمغارب وله علي ما يحكيه ديوان الانبياء ثلاثة الاف مثل وفي الكلام الموزون الف قصيدة وخمس قصاءد في طريق التهليل علي مثل ما كان الانبياء يستعملون فيه موزون الكلام في عصرهم ذلك وتكلم في الشجر والنبات والحيوان والهوام وفي انواع العلوم وصنوف الفلسفة بما لم يقدر ---عليه غيره -وان----ه ---ابتدا ببني-ا--ن بيت--- --الله في ال-سنة ا-ل---ر---ا-بع---ة من ولايته واتمه- -في السنة الحادية عشر فكانت- --مد-ة بنيان-ه سبع --سنين -واشهر---ا- و----عمل- ---في بن-يا-ن قصره و-م-وضع مقعده وبنيان قصر ابنة ف----رع---ون -ا-لتي ----كان---ت زوجته ثل-ا--ث عشر--ة -سنة وكان	بعده فغلظ امر سليمان بن داود وقوي سلطانه وهدت البلاد علي يديه وانقطعت الحروب غر بني اسراءيل من جميع النواحي وانقاد له جميع الملوك الذين كانوا حوله ومعني- اسمه بالعبرانية السلم لانه رزق السلم طول حياته وتزوج ابنة فرعون ملك مصر وابنة ملك عمون وابنة ملك مءاب وبني ادوم واهل صيدا واهل حشا وغيرهن كثيرا وتجلي الله تعالي له في نومه--- اول ولايته فقال له سل ما شءت لتعطاه فسال العلم فقال الله له انك سالت العلم ولم تسال طول البقاء ولا المال ولا قتل الاعداء فقد وهبت لك من العلم ما لم يبلغه احد غيرك وجمعت لك اليه المال والقدرة وفضلتك في ذلك علي كل من مضي قبلك وكان اول ----حكم به وعجب بنو اسراءيل من حكم-ه -فيه امر المراتين اللتين ادعتاه عنده في الصبي المولود فدعا بسيف واشار بشق الصبي وقسمته بينهما فرضيت بذلك التي لم تكن امه وابت الام وسمحت به للاخري شفقة علي ابنها فحكم لها سليمان به وظهر بذلك انه كان ابنها وبلغ سليمان في جميع العلوم مبلغا تقدم فيه اهل المشارق والمغارب وحفظ له ------------------------ثلاثة الاف مثل وفي الكلام الموزون الف قصيدة وخمس قصاءد في طريق التهليل علي مثل ما كان الانبياء يستعملون في- موزون الكلام في عصرهم---- وتكلم في الشجر والنبات والحيوان والهوام وفي انواع العلوم وصنوف ال-حكمة بما لم يقدر به عليه غيره فكان جميع بني اسراءيل يهابوه ويتقوة وفاضل اهل اليمن واهل مصر ففاق عليهم في علومهم وحكمهم وفي السنة الرابعة -من ولايته ابتداء في بناء بيت المقدس في شهر ايار وكانت تلك السنة سنة اربعماءة وثمانين لنبوة موسي فاقام يبني فيه سبع سنين واشهرا وفرع منه في السنة الحادية عشر من ملكه فكان	70	2794	0	-7496962116721826030	2748744966423131791	781	1407	70.29139709472656	146	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed	0845Maqrizi.KhabarCanBashar.MMS00013-ara1
0	681	988	1610	-4029061759496275370	3485423447167391186	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed.ms132	0845Maqrizi.KhabarCanBashar.MMS00013-ara1.ms2224	819	-- ذلك علي الفرس وقيعة شنعاء ونكبة دهياء قتل فيها منهم عدد لا يحصي ولم يقتل من عسكر الاسكندر الا ماءة وعشرين فارسا وتسعون راجلا ثم مضي الاسكندر الي المدينة التي كانت تدعي يومءذ غوذيانه وهي تدعي اليوم شرذش فحاصرها حتي افتتحها وغلب عليها فهدمها وانتهب ما فيها فبين-ا-ه- في ذلك بلغه ان داري ملك الفرس قد عبا واقبل نحوه بجمع عظيم فخاف ان يلحقه في ضيق الجبال التي كان فيها فقطع من يومه نحوا من ماءة ميل واجاز جبل طوره في سرعة عجيبة ومضي حتي بلغ مدينة طرسوس وكاد يهلك في النهر الذي يدعي جثيم اذ افرط عليه برد النهر حتي انقبض عصبه ووقفه علي الهلاك ثم ان داري ملك الفرس لاقاه بابية في ثلاثماءة الف راجل وماءة الف فارس واقبل داري يومءذ في كثرة كان يفزع لها الاسكندر فضلا عن غيره لكثرة من كان معه وقلة من كان مع الاسكندر اذ قربوا اليهم فلما التقي الجمعان وتواقفا واستحر القتال بينهما وباشر القواد الحرب بانفسهم وتنازل الابطال واختلف الطعن والضرب وضاق الفضاء باهله باشر كلا الملكين الحرب بانفسهما داري والاسكندر ------وكان الاسكندر اكمل اهل زمانه فروس-ة واشجعهم واقواهم جسما- فباشر-ها حتي جرحا جميعا وتمادت الحرب	اذ ذاك علي الفرس وقيعة شنعاء ونكبة دهياء قتل فيها منهم عدد لا يحصي ولم يقتل من عسكر الاسكندر الا ماءة وعشرون فارسا وتسعون راجلا تم مضي الاسكندر الي المدينة التي كانت تدعي يومءذ عوديانه وهي اليوم تدعي شرذش فخاصرها حتي افتتحها وغلب عليها فهدمها وانتهب ما فيها قبينما هو في ذلك بلغه ان دارا ملك الفرس قد عبا واقبل نحوه بجمع عظيم فخاف ان يلحقه في ضيق الجبال فقطع في --------------يومه نحوا من ماءة ميل واجاز جبل طوره في سرعة عجيبة ومضي حتي بلغ مدينة طرسوس وكاد يهلك في النهر الذي يدعي جثيم اذا فرط عليه برد النهر حتي انقبض عصبه ووقف علي الهلاك ثم ان دارا لاقاه بايية -----------في ثلاثماءة الف راجل وماءة الف فارس واقبل -----------في كثرة كان يفزع لها الاسكندر فضلا عن غيره لكثرة من كان معه وقلة من كان مع الاسكندر فلما التقي الجمعان واستخر القتال باشر -------------------------------القواد الحرب بانفسهم وتنازل الابطال واختلف الطعن والضرب وضاق الفضاء باهله باشر كلا الملكين الحرب بانفسهم---ا-- -الاسكندر ودارا وكان الاسكندر اجمل اهل زمانه فروسية واشجعهم واقواهم جسماء فباشراها حتي جرحا جميعا وتمادت الحرب	132	2224	0	7002854641275350999	-8590318606109367524	662	1002	81.73652648925781	139	0375AnonymousTranslator.TarikhCalamUrusiyus.MAB020626-ara1.completed	0845Maqrizi.KhabarCanBashar.MMS00013-ara1
